Dışa Aktarım Tarihi:,23.06.2026 11:09:59
Toplam Kayıt Sayısı:,12120

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,16.06.2026,"1,618785",61242420.00,1158,"99138311,93"
BRG,TEB PORTFÖY BURGAN BANK PARA PİYASASI (TL) FONU,16.06.2026,"4,771456",377902239.00,1568,"1803144062,98"
BRH,İSTANBUL PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"6,922137",805715932.00,15,"5577275675,09"
BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,16.06.2026,"1,54626",51323221.00,257,"79359062,87"
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,123112",24491528.00,429,"27506726,23"
BRZ,TEB PORTFÖY BURGAZ SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"52,618201",32662700.00,5,"1718652503,67"
BS1,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON,16.06.2026,"1,206062",6888223.00,139,"8307620,71"
BSA,İŞ PORTFÖY BAŞAK SERBEST ÖZEL FON,16.06.2026,"0,427565",2039522977.00,1,"872029154,76"
BSC,A1 CAPİTAL PORTFÖY BİRİNCİ SERBEST FON,16.06.2026,"0,243877",957334901.00,42,"233472198,50"
BSD,BV PORTFÖY SERBEST (DÖVİZ) FON,16.06.2026,"1,142648",210566529.00,94,"240603423,92"
BSE,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,737458",699708406.00,66,"516005575,36"
BSF,İŞ PORTFÖY BİRİNCİ SERBEST ÖZEL FON,16.06.2026,"1,36108",5653503590.00,1,"7694869245,09"
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,095995",5013715.00,140,"5495008,28"
BSM,GLOBAL MD PORTFÖY BERRAK SERBEST FON,16.06.2026,"1,598716",1494759335.00,3003,"2389696379,21"
BSN,BULLS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,158681",757705538.00,18,"877938970,64"
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"10,446098",5116658.00,650,"53449111,56"
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,16.06.2026,"4,748177",51931660.00,993,"246580711,03"
BTJ,ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,301313",14385237.00,58,"18719699,13"
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,16.06.2026,"1,66863",195045338.00,2116,"325458521,76"
BTP,TRİVE PORTFÖY PARA PİYASASI SERBEST FON,16.06.2026,"0,545216",295477819.00,16,"161099298,68"
BTY,İŞ PORTFÖY BTY SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"56,503119",14138000.00,3,"798841100,12"
BTZ,ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,281168",3842481.00,201,"4922864,24"
BUB,BULLS PORTFÖY BİRİNCİ FON SEPETİ FONU,16.06.2026,"1,079137",5425793.00,55,"5855175,36"
BUC,BULLS PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,986133",245120424.00,23,"241721254,43"
BUP,AZİMUT PORTFÖY BUPA SERBEST (TL) ÖZEL FON,16.06.2026,"3,92601",3354777076.00,1,"13170889081,59"
BUT,AZİMUT PORTFÖY BULUT HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,849055",118757326.00,4,"219588884,43"
BUV,BULLS PORTFÖY VOLTRAN SERBEST (TL) FON,16.06.2026,"1,395743",38921565.00,414,"54324511,65"
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,807381",214000926.00,17726,"386781192,75"
BV1,BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,608051",59075351.00,619,"94996167,07"
BVB,AK PORTFÖY ÖPY YEDİNCİ SERBEST (TL) ÖZEL FON,16.06.2026,"4,275998",1075003028.00,1,"4596710427,01"
BVC,AK PORTFÖY BİRİNCİ SERBEST (TL) ÖZEL FON,16.06.2026,"4,063669",1621342207.00,1,"6588598734,11"
BVD,BV PORTFÖY BİRİNCİ DEĞİŞKEN FON,16.06.2026,"1,290121",252115008.00,311,"325258749,37"
BVF,BV PORTFÖY PARA PİYASASI (TL) FON,16.06.2026,"1,314299",875418220.00,504,"1150561483,57"
BVH,BV PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"2,048255",66438502.00,14,"136082975,59"
BVI,BV PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"2,974626",106084947.00,31,"315563082,10"
BVK,BULLS PORTFÖY VOLTRAN KATILIM SERBEST (TL) FON,16.06.2026,"1,068175",115027177.00,31,"122869134,64"
BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,396075",9018239.00,154,"12590133,70"
BVT,AZİMUT PORTFÖY GÜNEY SERBEST ÖZEL FON,16.06.2026,"5,346048",3764497.00,10,"20125181,73"
BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,16.06.2026,"3,567492",45384051.00,1093,"161907253,21"
BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,16.06.2026,"4,190735",718440968.00,708,"3010795994,40"
BYZ,A1 CAPİTAL PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,674358",82146861.00,41,"137543289,35"
CAH,A1 CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,476318",35487493.00,363,"52390810,82"
CBD,A1 CAPİTAL PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"1,603475",122403653.00,15,"196271201,55"
CBN,QNB PORTFÖY CBN SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"49,701288",12563998.00,6,"624446879,63"
CBO,AZİMUT PORTFÖY HCBO HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"283,505681",7235254.00,3,"2051235615,67"
CEY,ROTA PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"63,7502",3314435.00,3,"211295892,84"
CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,16.06.2026,"2,345858",1295287819.00,479,"3038561512,35"
CGD,DENİZ PORTFÖY ÇAĞDAŞ SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"55,686135",11069534.00,2,"616419566,48"
CHY,A1 CAPİTAL PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),16.06.2026,"0,538781",13037512.00,40,"7024363,12"
CIN,AKTİF PORTFÖY BİRİNCİ SERBEST FON,16.06.2026,"1,790627",13293635.00,531,"23803946,34"
CJD,AK PORTFÖY SEKİZİNCİ SERBEST (DÖVİZ) FON,16.06.2026,"49,087175",552992.00,23,"27144815,28"
CJF,AK PORTFÖY ADOC SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"62,708303",30344444.00,3,"1902848577,00"
CJG,AK PORTFÖY SDSD SERBEST (DÖVİZ) ÖZEL FON,16.06.2026,"63,395138",30293734.00,1,"1920475447,52"
CJH,AK PORTFÖY DOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,16.06.2026,"59,582913",54538100.00,1793,"3249538873,95"
